Category,Outbreak,Location,Lat,Long,Cases,Fatalities,Impact Scale,Type
Polio,Polio,Afghanistan,33.4131,68.09326,25,,Epd,Other
Polio,Polio,Afghanistan,33.4131,68.09326,80,,Epd,Other
Polio,Polio,Afghanistan,32.54681,64.07227,37,,2nd,Other
Polio,sabin-like type 2 polio,Afghanistan (Kandahar),28.31405,65.2478,2,,Clst,Other
Polio,Polio,Afghanistan,33.65121,64.07227,12,,Epd,Other
Whooping Cough,Whooping Cough,Afghanistan (Badkhshan),36.73477,70.812,350,12,Clst,Other
Measles,Measles,Afghanistan (Ghor),35.16713,63.76954,6000,20,Epd,Other
Measles,Measles,Afghanistan,33.92513,66.26953,3013,,Epd,Other
Measles,Measles,Algeria (Adrar),26.41813,0.2833,87,,Epd,Other
Measles,Measles,Angola (Cunene),-16.4905382,14.6223476,99,,Epd,Other
Measles,Measles,Angola,-11.24054,17.84369,2657,,Epd,Other
Measles,Measles,Angola,-11.12097,17.80746,1679,,Epd,Other
Measles,Measles,Angola,-13.000532,17.87389,16,8,Clst,Other
Measles,Measles,Angola (Kuando Kubango),-16.41808,18.80762,320,,Epd,Other
Measles,Measles,Angola (Huila),-14.92806,14.65878,35,5,Clst,Other
Measles,Measles,Angola (Cunene),-16.4905382,14.6223476,19,,Clst,Other
Measles,Measles,Angola (Uige),-7.17367,15.40681,45,,Clst,Other
Polio,Polio,Angola,-11.236546,17.873887,24,,2nd,Other
Polio,Polio,Angola,-13.41099,16.78711,5,,Clst,Other
Measles,Measles,Argentina,-34.60372,-58.38159,1,,Isl,Other
Measles,Measles,Argentina,-34.60372,-58.38159,1,,Isl,Other
Whooping Cough,Whooping Cough,Argentina,-38.4161,-63.61667,597,,Epd,Other
Whooping Cough,Whooping Cough,Argentina (Mendoza),-32.89018,-68.84405,71,,Epd,Other
Whooping Cough,Whooping Cough,Australia (Gladstone Region),-23.805604,151.254637,65,,Epd,Other
Whooping Cough,Whooping Cough,Australia (New South Wales),-33.28462,144.31641,13046,,Epd,Other
Whooping Cough,Whooping Cough,Australia (Western Australia),-26.71617,122.10205,3597,,Epd,Other
Whooping Cough,Whooping Cough,Australia,-20.91757,142.7028,1505,,Epd,Other
Whooping Cough,Whooping Cough,Australia (New South Wales),-33.13755,146.42578,3722,,Epd,Other
Measles,Measles,Australia (Victoria),-38.471308,140.785153,18,,Clst,Other
Measles,Measles,Austria (Styria),47.264901,14.89393,37,,2nd,Other
Measles,Measles,Australia (Western Australia),-27.672817,121.62831,2,,2nd,Other
Measles,Measles,Australia (New South Wales),-30.253218,146.921099,1,,Isl,Other
Measles,Measles,Australia (Queensland),-24.917574,145.902796,2,,2nd,Other
Measles,Measles,Australia,-22.73591,140.018765,3,,2nd,Other
Measles,Measles,Australia (Brisbane),-27.470933,153.023502,1,,Isl,Other
Measles,Measles,Australia (Melbourne),-37.813187,144.96298,1,,Isl,Other
Measles,Measles,Australia (Blacktown),-33.769464,150.908493,14,,Clst,Other
Measles,Measles,Australia (Victoria),-37.471308,141.785153,16,,2nd,Other
Measles,Measles,Australia (Queensland),-23.917574,141.702796,12,,Clst,Other
Measles,Measles,Australia (New South Wales),-32.253218,146.921099,29,,Clst,Other
Measles,Measles,Australia (Queensland),-20.917574,142.702796,1,,Isl,Other
Measles,Measles,Australia (Victoria),-35.471308,144.785153,4,,Clst,Other
Measles,Measles,Australia (South),-29.532804,145.491477,1,,Isl,Other
Measles,Measles,Australia (Adelaide),-34.928621,138.599959,1,,Isl,Other
Measles,Measles,Australia (Northern Territory),-19.491411,132.55096,1,,Isl,Other
Measles,Measles,Australia (South Australia),-30.000232,136.209155,2,,2nd,Other
Measles,Measles,Australia (Australian Capital Territory),-35.47347,149.01237,12,,Clst,Other
Measles,Measles,Australia (Adelaide),-34.92113,138.58377,1,,Isl,Other
Measles,Measles,Australia (Canberra),-33.99803,146.84326,13,,Clst,Other
Measles,Measles,Australia,-22.73591,140.018765,89,,Epd,Other
Measles,Measles,Australia (Adelaide),-37.96443,145.05598,2,,2nd,Other
