"x","y","z"
-119.66,44.84,1082.54
-119.66,44.88,1419.48
-119.66,44.92,1231.24
-119.66,44.96,1298.1
-119.66,45,1281.9
-119.66,45.04,1237.78
-119.66,45.08,1146.26
-119.66,45.12,1196.04
-119.66,45.16,1116.47
-119.66,45.2,994.52
-119.66,45.24,781.74
-119.66,45.28,849.72
-119.66,45.32,760.03
-119.66,45.36,661.23
-119.66,45.4,552.06
-119.66,45.44,513.37
-119.66,45.48,536.84
-119.66,45.52,398.76
-119.66,45.56,366.42
-119.66,45.6,299.85
-119.66,45.64,267.21
-119.66,45.68,211.82
-119.66,45.72,213.23
-119.66,45.76,178.26
-119.66,45.8,150.62
-119.66,45.84,97.24
-119.66,45.88,81.42
-119.66,45.92,138.67
-119.66,45.96,142.47
-119.66,46,206.38
-119.66,46.04,233.75
-119.66,46.08,254.5
-119.66,46.12,277.77
-119.66,46.16,356.19
-119.66,46.2,440.23
-119.66,46.24,178.77
-119.66,46.28,323.9
-119.66,46.32,469.12
-119.66,46.36,640.32
-119.66,46.4,821.81
-119.66,46.44,608.65
-119.66,46.48,215.95
-119.66,46.52,191.18
-119.66,46.56,201.38
-119.66,46.6,182.56
-119.66,46.64,119.3
-119.66,46.68,159.54
-119.66,46.72,197.24
-119.66,46.76,271.48
-119.66,46.8,581.6
-119.66,46.84,171.02
-119.66,46.88,312.58
-119.66,46.92,350.12
-119.66,46.96,474.59
-119.66,47,346.51
-119.66,47.04,351.67
-119.66,47.08,356.44
-119.66,47.12,365.41
-119.66,47.16,351.32
-119.66,47.2,370
-119.66,47.24,367.37
-119.66,47.28,490.59
-119.66,47.32,689.78
-119.66,47.36,689.25
-119.66,47.4,641.59
-119.66,47.44,508.82
-119.66,47.48,559.74
-119.66,47.52,621.78
-119.66,47.56,675.55
-119.66,47.6,659.52
-119.66,47.64,556.09
-119.66,47.68,687.3
-119.66,47.72,665.15
-119.66,47.76,699.93
-119.66,47.8,714.47
-119.66,47.84,683.34
-119.66,47.88,693.2
-119.66,47.92,552.99
-119.66,47.96,400.94
-119.66,48,260.7
-119.66,48.04,409.74
-119.66,48.08,301
-119.66,48.12,359.99
-119.66,48.16,280.98
-119.66,48.2,500.21
-119.66,48.24,425.44
-119.66,48.28,600.21
-119.66,48.32,376.76
-119.66,48.36,711.61
-119.66,48.4,881.01
-119.66,48.44,463.76
-119.66,48.48,766.63
-119.66,48.52,468.4
-119.66,48.56,707.54
-119.66,48.6,812.31
-119.66,48.64,957.24
-119.66,48.68,1180.37
-119.66,48.72,788.26
-119.66,48.76,505.78
-119.66,48.8,567.41
-119.62,44.84,1346.35
-119.62,44.88,1429.37
-119.62,44.92,1182.41
-119.62,44.96,1298.06
-119.62,45,1223.66
-119.62,45.04,1440.01
-119.62,45.08,1288.43
-119.62,45.12,1198.63
-119.62,45.16,1096.88
-119.62,45.2,1061.96
-119.62,45.24,912
-119.62,45.28,883.96
-119.62,45.32,801.02
-119.62,45.36,710.29
-119.62,45.4,519.2
-119.62,45.44,565.17
-119.62,45.48,569.18
-119.62,45.52,440.08
-119.62,45.56,366.49
-119.62,45.6,329.82
-119.62,45.64,280.96
-119.62,45.68,260.12
-119.62,45.72,201.1
-119.62,45.76,193.82
-119.62,45.8,157.94
-119.62,45.84,114.23
-119.62,45.88,81.46
-119.62,45.92,81.48
-119.62,45.96,154.5
-119.62,46,209.31
-119.62,46.04,251.28
-119.62,46.08,281.42
-119.62,46.12,309.23
-119.62,46.16,365.01
-119.62,46.2,434.37
-119.62,46.24,404.46
-119.62,46.28,307.95
-119.62,46.32,437.93
-119.62,46.36,614.64
-119.62,46.4,943.22
-119.62,46.44,380.61
-119.62,46.48,188.16
-119.62,46.52,195.32
-119.62,46.56,219.88
-119.62,46.6,172.61
-119.62,46.64,143.3
-119.62,46.68,165.97
-119.62,46.72,193.84
-119.62,46.76,264.57
-119.62,46.8,541.74
-119.62,46.84,171.83
-119.62,46.88,291.04
-119.62,46.92,307.01
-119.62,46.96,469.31
-119.62,47,343.89
-119.62,47.04,354.73
-119.62,47.08,353.61
-119.62,47.12,353.61
-119.62,47.16,370.78
-119.62,47.2,379.15
-119.62,47.24,369.98
-119.62,47.28,454.14
-119.62,47.32,604.79
-119.62,47.36,622.97
-119.62,47.4,655.11
-119.62,47.44,605.76
-119.62,47.48,562.05
-119.62,47.52,654.26
-119.62,47.56,715.18
-119.62,47.6,696.78
-119.62,47.64,711.42
-119.62,47.68,629.8
-119.62,47.72,644.75
-119.62,47.76,653.28
-119.62,47.8,700.77
-119.62,47.84,675.51
-119.62,47.88,667.87
-119.62,47.92,667.48
-119.62,47.96,590.44
-119.62,48,319.51
-119.62,48.04,697.86
-119.62,48.08,515.06
-119.62,48.12,475.31
-119.62,48.16,507.59
-119.62,48.2,557.83
-119.62,48.24,490.26
-119.62,48.28,638.84
-119.62,48.32,254.5
-119.62,48.36,515.54
-119.62,48.4,538.54
-119.62,48.44,737.67
-119.62,48.48,593.49
-119.62,48.52,536.43
-119.62,48.56,757.62
-119.62,48.6,641.57
-119.62,48.64,939.61
-119.62,48.68,971.25
-119.62,48.72,1169.98
-119.62,48.76,1155.99
-119.62,48.8,1124.21
-119.58,44.84,1128.75
-119.58,44.88,1454.59
-119.58,44.92,1001.17
-119.58,44.96,1048.21
-119.58,45,1245.8
-119.58,45.04,1230.23
-119.58,45.08,1180.39
-119.58,45.12,1326.98
-119.58,45.16,1141.62
-119.58,45.2,1069.7
-119.58,45.24,884.96
-119.58,45.28,852.03
-119.58,45.32,816.53
-119.58,45.36,655.35
-119.58,45.4,693.89
-119.58,45.44,659.86
-119.58,45.48,650.97
-119.58,45.52,483.25
-119.58,45.56,376.13
-119.58,45.6,346.59
-119.58,45.64,302.74
-119.58,45.68,283.1
-119.58,45.72,229.03
-119.58,45.76,198.82
-119.58,45.8,182.75
-119.58,45.84,121.83
-119.58,45.88,101.23
-119.58,45.92,86.39
-119.58,45.96,175.82
-119.58,46,208.39
-119.58,46.04,276.21
-119.58,46.08,308.79
-119.58,46.12,349.24
-119.58,46.16,376.88
-119.58,46.2,410.5
-119.58,46.24,522.43
-119.58,46.28,235.3
-119.58,46.32,410.54
-119.58,46.36,539.8
-119.58,46.4,591.23
-119.58,46.44,289.71
-119.58,46.48,164.16
-119.58,46.52,204.29
-119.58,46.56,223.05
-119.58,46.6,181.09
-119.58,46.64,161.72
-119.58,46.68,131.33
-119.58,46.72,132.06
-119.58,46.76,260.2
-119.58,46.8,586.57
-119.58,46.84,172.12
-119.58,46.88,269.23
-119.58,46.92,348.79
-119.58,46.96,374.63
-119.58,47,342.37
-119.58,47.04,354.93
-119.58,47.08,351.05
-119.58,47.12,357.49
-119.58,47.16,377.62
-119.58,47.2,369.7
-119.58,47.24,375.47
-119.58,47.28,391.23
-119.58,47.32,593.62
-119.58,47.36,635.78
-119.58,47.4,639.44
-119.58,47.44,656.14
-119.58,47.48,662.58
-119.58,47.52,662.12
-119.58,47.56,731.45
-119.58,47.6,757.26
-119.58,47.64,707.89
-119.58,47.68,663.22
-119.58,47.72,640.49
-119.58,47.76,617.15
-119.58,47.8,680.5
-119.58,47.84,690.06
-119.58,47.88,678.01
-119.58,47.92,642.77
-119.58,47.96,668.04
-119.58,48,582.12
-119.58,48.04,338.05
-119.58,48.08,744.79
-119.58,48.12,754.93
-119.58,48.16,713.07
-119.58,48.2,740.1
-119.58,48.24,768.09
-119.58,48.28,832.81
-119.58,48.32,503.59
-119.58,48.36,255.04
-119.58,48.4,410.26
-119.58,48.44,482.7
-119.58,48.48,534.53
-119.58,48.52,680.42
-119.58,48.56,733.41
-119.58,48.6,574.07
-119.58,48.64,625.35
-119.58,48.68,766.17
-119.58,48.72,766.26
-119.58,48.76,518.85
-119.58,48.8,499.72
-119.54,44.84,908.2
-119.54,44.88,1097.98
-119.54,44.92,884.25
-119.54,44.96,1227.9
-119.54,45,1247.46
-119.54,45.04,1275.11
-119.54,45.08,1176.7
-119.54,45.12,1317.9
-119.54,45.16,1141.82
-119.54,45.2,1027.16
-119.54,45.24,1033.43
-119.54,45.28,897.6
-119.54,45.32,768.87
-119.54,45.36,653.21
-119.54,45.4,774.48
-119.54,45.44,738.94
-119.54,45.48,771.45
-119.54,45.52,501.69
-119.54,45.56,399.43
-119.54,45.6,343.18
-119.54,45.64,302.72
-119.54,45.68,248.67
-119.54,45.72,199.32
-119.54,45.76,197.19
-119.54,45.8,180.97
-119.54,45.84,164.2
-119.54,45.88,100.92
-119.54,45.92,81.91
-119.54,45.96,173.3
-119.54,46,215.96
-119.54,46.04,291.11
-119.54,46.08,337.34
-119.54,46.12,376.53
-119.54,46.16,399.9
-119.54,46.2,445.11
-119.54,46.24,455.1
-119.54,46.28,158.42
-119.54,46.32,283.03
-119.54,46.36,612.9
-119.54,46.4,364.47
-119.54,46.44,223.04
-119.54,46.48,174.02
-119.54,46.52,211.53
-119.54,46.56,210.32
-119.54,46.6,131.19
-119.54,46.64,160.23
-119.54,46.68,147.32
-119.54,46.72,128.1
-119.54,46.76,264.46
-119.54,46.8,587.42
-119.54,46.84,168.06
-119.54,46.88,260.35
-119.54,46.92,314.66
-119.54,46.96,352.95
-119.54,47,342.52
-119.54,47.04,346.61
-119.54,47.08,357.18
-119.54,47.12,372.42
-119.54,47.16,380.76
-119.54,47.2,376.9
-119.54,47.24,388.14
-119.54,47.28,387.26
-119.54,47.32,404.04
-119.54,47.36,409.69
-119.54,47.4,502.31
-119.54,47.44,627.98
-119.54,47.48,752.32
-119.54,47.52,739.01
-119.54,47.56,777.3
-119.54,47.6,768.75
-119.54,47.64,745.03
-119.54,47.68,702.37
-119.54,47.72,657.51
-119.54,47.76,686.93
-119.54,47.8,664.36
-119.54,47.84,679.62
-119.54,47.88,672.93
-119.54,47.92,674.49
-119.54,47.96,631.96
-119.54,48,616.28
-119.54,48.04,400.5
-119.54,48.08,539.51
-119.54,48.12,759.05
-119.54,48.16,759.69
-119.54,48.2,758.85
-119.54,48.24,768.27
-119.54,48.28,818.97
-119.54,48.32,869.83
-119.54,48.36,381.07
-119.54,48.4,256.91
-119.54,48.44,378.29
-119.54,48.48,421.32
